ax,ay,az,gx,gy,gz
0.777,0.617,0.398,122.832,-122.847,1.237
0.700,0.590,0.631,73.389,-103.550,24.878
0.701,0.472,0.760,42.420,-127.664,24.122
0.675,0.444,0.698,19.908,-134.198,12.557
0.649,0.454,0.630,4.542,-133.069,0.466
0.703,0.487,0.528,-3.374,-123.328,-3.313
0.819,0.512,0.479,-7.237,-88.817,2.305
0.865,0.523,0.436,-11.557,-62.153,9.573
0.854,0.518,0.427,-11.672,-45.534,16.817
0.874,0.515,0.416,-8.908,-29.962,21.305
0.868,0.538,0.413,-6.901,-15.290,25.802
0.855,0.523,0.407,-5.183,3.992,28.076
0.822,0.478,0.464,-6.832,18.832,29.321
0.812,0.480,0.424,-11.985,12.527,29.160
0.820,0.459,0.440,-16.000,11.603,29.351
0.860,0.425,0.444,-16.931,11.618,31.626
0.843,0.374,0.440,-14.374,12.748,35.885
0.838,0.368,0.418,-9.221,24.183,41.763
0.863,0.361,0.422,-6.076,31.244,45.496
0.842,0.348,0.485,-2.618,32.901,45.420
0.876,0.334,0.539,0.229,33.824,43.420
0.888,0.337,0.564,-1.305,41.702,47.336
0.912,0.312,0.554,-5.626,62.534,55.420
0.879,0.316,0.549,-12.183,90.977,58.977
0.870,0.316,0.558,-18.267,126.763,59.275
0.867,0.254,0.613,-24.244,146.214,58.695
0.887,0.271,0.609,-28.718,155.924,59.305
0.878,0.272,0.617,-30.748,173.802,61.779
0.848,0.276,0.632,-28.450,202.809,67.176
0.809,0.238,0.639,-25.244,236.809,73.824
0.795,0.167,0.699,-21.916,250.130,73.282
0.687,0.204,0.757,-24.443,250.130,71.046
0.666,0.225,0.739,-28.130,234.000,65.588
0.592,0.125,0.741,-31.336,212.626,57.237
0.543,0.056,0.789,-33.351,198.542,40.595
0.519,0.097,0.779,-34.061,207.389,14.115
0.528,0.165,0.752,-37.847,243.000,-5.008
0.594,0.122,0.737,-45.527,250.130,-16.313
0.525,0.036,0.799,-53.107,250.130,-26.374
0.424,-0.020,0.875,-57.847,250.130,-37.511
0.378,-0.002,0.913,-60.061,250.130,-45.885
0.394,0.046,0.827,-45.557,250.130,-45.176
0.346,0.086,0.821,-13.496,250.130,-35.282
0.273,0.128,0.929,15.267,250.130,-24.870
0.162,0.119,1.114,26.336,250.130,-20.527
0.045,0.067,1.249,21.107,250.130,-24.153
-0.023,0.059,1.357,10.351,243.397,-28.740
-0.022,0.147,1.401,-8.771,234.718,-32.733
-0.026,0.240,1.420,-27.916,223.443,-30.496
-0.063,0.260,1.403,-39.870,201.771,-23.198
-0.089,0.207,1.331,-44.267,162.969,-15.237
-0.128,0.219,1.256,-41.977,129.641,-8.191
-0.211,0.229,1.147,-34.885,112.031,-1.031
-0.271,0.144,1.013,-32.786,145.061,-0.679
-0.425,0.064,1.022,-35.672,194.679,-7.183
-0.531,0.018,1.010,-40.244,238.710,-21.901
-0.623,0.026,1.054,-42.534,250.130,-38.496
-0.599,0.078,1.087,-46.214,250.130,-52.359
-0.571,0.067,1.086,-51.672,250.130,-55.634
-0.606,0.095,1.107,-53.664,250.130,-56.656
-0.545,0.046,0.992,-58.145,250.130,-45.809
-0.613,0.022,0.935,-60.015,250.130,-36.565
-0.815,-0.078,0.854,-58.794,250.130,-36.145
-0.997,-0.209,0.741,-57.420,250.130,-46.427
-1.069,-0.323,0.629,-55.038,250.130,-67.015
-1.027,-0.276,0.542,-50.153,250.130,-85.031
-0.826,-0.074,0.572,-41.519,250.130,-91.298
-0.664,0.112,0.677,-33.763,250.130,-77.580
-0.612,0.158,0.716,-37.473,250.130,-45.542
-0.742,0.033,0.761,-44.145,250.130,-13.076
-0.895,-0.131,0.547,-50.038,231.489,-4.229
-1.027,-0.195,0.396,-59.336,223.519,-9.260
-1.123,-0.200,0.279,-64.076,221.954,-16.664
-1.117,-0.204,0.189,-69.985,213.397,-25.885
-1.050,-0.156,0.119,-70.840,213.687,-31.015
-1.021,-0.078,0.101,-68.855,214.504,-29.206
-1.020,-0.102,0.118,-62.267,193.863,-26.519
-1.021,-0.093,0.028,-51.718,169.679,-23.832
-1.044,-0.104,0.065,-40.275,147.252,-18.893
-1.014,-0.095,-0.062,-29.763,124.557,-16.611
-1.030,-0.104,0.006,-24.611,111.237,-14.672
-1.043,-0.103,-0.020,-21.198,99.718,-11.298
-1.044,-0.101,-0.021,-20.489,91.168,-12.641
-1.015,-0.070,-0.061,-27.084,94.466,-14.000
-1.013,-0.102,-0.026,-31.817,99.023,-13.328
-1.016,-0.094,-0.035,-35.313,89.649,-14.107
-0.982,-0.097,-0.083,-34.191,69.901,-13.275
-0.931,-0.038,-0.160,-28.244,52.053,-11.000
-0.916,-0.039,-0.164,-20.977,38.191,-8.137
-0.906,-0.042,-0.193,-14.252,33.588,-5.313
-0.893,-0.047,-0.203,-11.336,40.947,-1.740
-0.892,-0.065,-0.200,-11.634,51.840,1.366
-0.884,-0.090,-0.207,-13.076,60.695,2.313
-0.866,-0.097,-0.201,-18.771,74.191,1.809
-0.877,-0.127,-0.213,-19.908,79.672,0.298
-0.866,-0.102,-0.134,-25.695,84.962,-2.817
-0.800,-0.103,-0.216,-32.931,98.130,-2.359
-0.776,-0.106,-0.217,-41.534,105.725,0.366
-0.740,-0.103,-0.296,-47.802,105.832,3.977
-0.749,-0.104,-0.284,-49.496,101.565,6.580
-0.774,-0.087,-0.301,-49.763,97.901,8.443
-0.792,-0.088,-0.316,-47.687,87.695,10.718
-0.775,-0.108,-0.403,-43.771,77.328,12.198
-0.745,-0.116,-0.452,-39.748,72.733,12.924
-0.743,-0.116,-0.470,-36.611,72.191,14.824
-0.757,-0.084,-0.449,-35.168,69.962,18.130
-0.769,-0.099,-0.495,-29.168,59.679,20.595
-0.784,-0.081,-0.490,-21.176,47.427,22.015
-0.784,-0.103,-0.489,-11.176,28.412,22.389
-0.807,-0.104,-0.441,-2.893,6.008,22.237
-0.813,-0.102,-0.462,3.550,-15.427,20.550
-0.807,-0.083,-0.441,7.954,-31.282,17.420
-0.812,-0.092,-0.413,10.786,-45.702,14.771
-0.792,-0.106,-0.395,12.298,-62.221,13.092
-0.786,-0.101,-0.363,14.924,-86.901,13.458
-0.787,-0.100,-0.360,18.412,-110.191,14.504
-0.813,-0.115,-0.333,23.863,-138.802,15.832
-0.845,-0.097,-0.311,31.565,-166.954,17.664
-0.869,-0.080,-0.290,38.855,-191.809,20.450
-0.903,-0.125,-0.268,47.550,-218.427,22.221
-0.952,-0.147,-0.233,55.328,-245.435,24.221
-0.952,-0.150,-0.201,62.496,-250.137,25.130
-0.942,-0.095,-0.159,76.649,-250.137,18.809
-0.966,-0.097,-0.082,87.756,-246.611,9.229
-0.848,-0.146,-0.188,93.031,-248.618,7.115
-0.943,-0.135,0.102,95.947,-250.137,4.649
-0.949,-0.128,0.164,100.176,-250.137,0.397
-0.942,-0.085,0.213,106.733,-250.137,-1.557
-0.936,-0.062,0.267,109.183,-250.137,0.260
-0.907,-0.078,0.299,106.649,-250.137,5.031
-0.887,-0.069,0.296,102.168,-250.137,10.794
-0.858,-0.050,0.291,96.313,-250.137,16.214
-0.891,-0.068,0.382,93.061,-240.031,20.466
-0.900,-0.062,0.399,88.206,-229.580,21.198
-0.911,-0.056,0.463,85.260,-222.328,22.008
-0.880,-0.050,0.542,84.198,-222.198,22.733
-0.855,-0.075,0.652,83.618,-235.450,24.183
-0.810,-0.056,0.726,83.092,-250.137,23.832
-0.752,-0.014,0.682,87.832,-250.137,25.412
-0.720,0.022,0.734,93.321,-250.137,29.084
-0.672,0.023,0.835,97.908,-250.137,34.985
-0.591,0.071,0.829,97.626,-250.137,42.137
-0.533,0.083,0.858,97.450,-250.137,50.840
-0.519,0.114,0.934,92.802,-250.137,60.168
-0.516,0.119,0.971,92.504,-250.137,65.847
-0.536,0.100,1.024,92.130,-250.137,65.458
-0.482,0.140,1.007,89.931,-250.137,59.176
-0.372,0.169,0.892,88.695,-250.137,51.099
-0.322,0.222,0.954,88.832,-250.137,45.420
-0.264,0.269,0.984,91.015,-250.137,42.023
-0.169,0.285,1.019,91.634,-250.137,37.992
-0.047,0.281,1.084,89.481,-250.137,34.038
0.052,0.316,1.140,80.710,-250.137,31.282
0.142,0.382,1.175,67.443,-240.214,31.237
0.217,0.412,1.215,52.061,-230.756,35.832
0.253,0.430,1.215,42.542,-236.603,44.687
0.300,0.420,1.222,37.046,-250.137,51.702
0.288,0.389,1.179,36.649,-250.137,57.550
0.262,0.360,1.093,39.389,-250.137,57.160
0.295,0.342,1.082,38.122,-250.137,49.756
0.394,0.329,1.056,33.603,-250.137,39.328
0.486,0.374,0.973,29.916,-250.137,35.008
0.557,0.409,0.924,26.954,-237.191,35.847
0.632,0.411,0.966,22.183,-208.710,37.779
0.708,0.395,0.979,14.702,-196.695,38.863
0.729,0.407,0.932,8.099,-194.779,41.641
0.722,0.391,0.866,4.481,-182.847,45.008
0.761,0.363,0.829,1.443,-170.893,45.580
0.793,0.371,0.792,1.260,-163.412,48.664
0.814,0.363,0.756,1.962,-137.015,51.481
0.841,0.327,0.776,-2.061,-114.405,53.779
0.820,0.315,0.772,-8.656,-96.931,53.588
0.777,0.278,0.779,-18.977,-84.061,52.649
0.801,0.265,0.727,-29.420,-60.870,46.863
0.794,0.252,0.686,-37.527,-42.122,42.176
0.791,0.258,0.691,-44.275,-38.061,40.221
0.790,0.252,0.680,-49.191,-41.626,38.985
0.829,0.249,0.615,-48.954,-39.305,39.038
0.845,0.228,0.629,-43.740,-25.122,40.519
0.901,0.239,0.641,-36.901,-5.855,42.427
0.938,0.266,0.675,-34.061,4.580,48.267
0.943,0.251,0.685,-33.122,14.588,55.740
0.935,0.275,0.720,-34.824,19.183,63.664
0.911,0.265,0.728,-37.061,16.389,71.916
0.834,0.213,0.720,-37.931,17.336,77.649
0.766,0.149,0.723,-37.725,19.069,77.290
0.724,0.110,0.747,-35.901,15.374,71.336
0.741,0.071,0.718,-35.740,15.221,62.679
0.804,0.096,0.685,-38.252,22.328,55.427
0.933,0.168,0.701,-37.321,37.389,56.344
1.043,0.195,0.716,-37.817,56.176,64.008
1.072,0.227,0.749,-42.221,72.802,77.656
1.023,0.190,0.790,-50.313,59.527,90.359
0.914,0.139,0.787,-53.908,40.191,97.794
0.812,0.062,0.769,-52.962,29.863,101.191
0.790,-0.007,0.725,-53.504,31.397,98.099
0.790,0.003,0.723,-54.656,33.649,93.084
0.789,-0.049,0.719,-54.710,21.863,92.618
0.829,-0.046,0.716,-51.153,11.328,92.832
0.819,-0.042,0.756,-47.939,13.061,94.290
0.930,-0.052,0.696,-47.832,34.229,96.947
0.937,-0.029,0.665,-56.137,74.710,102.282
0.862,-0.125,0.607,-72.466,127.771,104.412
0.750,-0.280,0.514,-85.809,166.198,100.756
0.587,-0.373,0.521,-88.122,183.664,89.656
0.526,-0.427,0.546,-75.198,176.649,74.275
0.597,-0.416,0.548,-53.145,183.183,61.725
0.632,-0.347,0.547,-35.779,203.115,54.053
0.634,-0.324,0.637,-26.855,218.427,50.321
0.617,-0.298,0.765,-20.328,222.527,50.786
0.581,-0.263,0.859,-15.473,230.008,55.542
0.552,-0.249,0.948,-13.267,245.313,60.053
0.470,-0.252,1.045,-23.214,250.130,65.802
0.343,-0.294,1.211,-26.771,237.282,69.282
0.229,-0.292,1.422,-26.458,184.573,70.573
0.110,-0.376,1.472,-28.328,119.145,66.420
0.032,-0.438,1.460,-31.649,62.336,55.336
0.051,-0.434,1.388,-37.000,33.405,40.527
0.172,-0.406,1.326,-47.107,23.756,27.122
0.202,-0.406,1.244,-52.626,12.779,24.977
0.175,-0.451,1.212,-46.374,-5.794,21.282
0.162,-0.502,1.206,-37.603,-29.626,15.496
0.170,-0.543,1.204,-30.038,-52.099,5.824
0.241,-0.556,1.238,-25.198,-75.046,-5.695
0.355,-0.537,1.207,-25.336,-104.527,-13.046
0.455,-0.520,1.124,-27.840,-115.435,-14.916
0.516,-0.518,1.029,-32.015,-115.237,-14.229
0.563,-0.506,0.942,-33.183,-104.374,-10.954
0.568,-0.487,0.996,-28.824,-92.145,-6.076
0.502,-0.515,1.044,-29.725,-111.412,-4.489
0.434,-0.551,0.986,-31.000,-126.771,-7.656
0.345,-0.609,0.980,-28.160,-145.115,-14.779
0.355,-0.581,0.953,-26.802,-170.298,-26.885
0.548,-0.476,0.973,-27.229,-177.153,-33.802
0.643,-0.383,1.001,-33.298,-176.809,-31.656
0.706,-0.397,0.933,-44.305,-186.794,-23.405
0.632,-0.448,0.912,-55.718,-194.901,-16.496
0.591,-0.500,0.790,-65.931,-200.321,-19.847
0.618,-0.496,0.670,-76.046,-209.344,-23.214
0.700,-0.517,0.549,-75.160,-190.580,-27.252
0.694,-0.549,0.530,-65.359,-170.305,-28.366
0.684,-0.568,0.546,-49.992,-163.847,-30.321
0.736,-0.530,0.549,-36.130,-154.313,-34.740
0.803,-0.488,0.554,-31.061,-136.756,-32.580
0.871,-0.467,0.539,-32.344,-115.328,-27.489
0.865,-0.444,0.545,-35.496,-105.015,-21.183
0.828,-0.487,0.574,-35.374,-101.336,-17.618
0.802,-0.495,0.580,-33.038,-103.969,-17.046
0.806,-0.522,0.565,-30.076,-106.924,-17.626
0.787,-0.519,0.579,-29.580,-108.122,-20.115
0.775,-0.527,0.589,-31.076,-108.008,-23.947
0.780,-0.500,0.546,-33.366,-112.366,-27.000
0.781,-0.499,0.522,-33.374,-123.000,-29.260
0.781,-0.507,0.509,-30.740,-133.183,-33.076
0.774,-0.511,0.482,-28.695,-141.092,-37.863
0.806,-0.494,0.429,-30.328,-143.969,-42.450
0.829,-0.463,0.390,-33.702,-145.992,-45.435
0.892,-0.442,0.351,-37.160,-148.092,-48.046
0.895,-0.404,0.281,-41.954,-145.893,-46.931
0.915,-0.402,0.208,-45.176,-143.420,-45.099
0.997,-0.404,0.143,-44.710,-123.809,-42.786
0.985,-0.405,0.161,-42.542,-112.534,-38.015
0.952,-0.424,0.186,-39.947,-116.290,-34.145
0.914,-0.390,0.164,-40.489,-132.695,-38.198
0.933,-0.463,0.137,-44.061,-144.847,-45.260
0.936,-0.403,0.101,-47.229,-151.366,-46.290
1.002,-0.400,0.057,-52.473,-146.015,-48.947
1.001,-0.330,0.045,-58.191,-150.015,-48.290
0.963,-0.320,-0.024,-62.969,-161.214,-45.679
0.892,-0.368,-0.063,-64.809,-172.817,-49.191
0.885,-0.396,-0.069,-63.000,-177.672,-58.023
0.970,-0.333,-0.152,-57.443,-167.817,-59.962
1.006,-0.317,-0.274,-47.061,-140.053,-52.160
0.994,-0.309,-0.314,-36.672,-114.496,-45.702
0.921,-0.309,-0.304,-30.489,-95.061,-42.908
0.850,-0.332,-0.274,-28.023,-85.557,-45.954
0.840,-0.320,-0.286,-25.168,-75.046,-49.557
0.924,-0.255,-0.311,-22.748,-62.359,-50.939
1.016,-0.176,-0.329,-24.389,-44.298,-45.252
1.032,-0.161,-0.303,-26.244,-33.031,-36.756
1.019,-0.130,-0.251,-22.473,-33.664,-32.153
1.039,-0.111,-0.244,-17.802,-40.641,-28.023
1.065,-0.152,-0.266,-13.580,-36.954,-21.015
1.060,-0.148,-0.267,-10.611,-23.641,-12.122
1.028,-0.170,-0.241,-10.282,-11.802,-4.855
0.964,-0.180,-0.203,-10.794,-9.534,-1.260
0.918,-0.198,-0.175,-10.771,-16.107,-0.702
0.900,-0.198,-0.219,-12.557,-22.565,0.496
0.898,-0.203,-0.283,-15.511,-22.618,3.397
0.907,-0.192,-0.353,-17.809,-15.824,7.702
0.936,-0.163,-0.431,-16.145,-3.481,15.298
0.919,-0.129,-0.469,-10.053,1.397,24.786
0.911,-0.148,-0.514,-0.893,9.908,32.412
0.822,-0.220,-0.546,16.328,26.198,36.221
0.892,-0.162,-0.340,30.588,32.557,44.359
0.814,-0.192,-0.301,31.069,33.076,48.863
0.767,-0.266,-0.241,31.160,37.679,49.756
0.742,-0.330,-0.158,30.985,38.351,48.443
0.719,-0.339,-0.122,26.603,34.023,44.794
0.712,-0.319,-0.189,18.595,29.786,41.504
0.734,-0.349,-0.263,16.191,35.015,40.931
0.764,-0.332,-0.304,18.191,42.282,41.573
0.784,-0.324,-0.312,21.405,47.809,42.321
0.811,-0.328,-0.323,25.840,57.977,44.145
0.851,-0.326,-0.303,29.046,67.015,48.550
0.865,-0.364,-0.251,31.656,75.153,53.015
0.863,-0.421,-0.190,34.244,77.588,55.107
0.852,-0.452,-0.135,33.153,77.763,54.282
0.889,-0.444,-0.113,28.893,76.855,53.802
0.925,-0.434,-0.128,23.733,73.397,57.214
0.979,-0.438,-0.144,21.061,75.527,62.427
1.011,-0.442,-0.136,20.336,81.977,71.115
1.021,-0.455,-0.125,17.916,88.496,81.649
0.991,-0.481,-0.078,16.290,89.023,90.489
0.915,-0.518,-0.040,14.168,81.206,95.473
0.849,-0.562,-0.014,9.153,70.244,96.221
0.769,-0.605,0.003,3.779,60.137,97.534
0.624,-0.784,0.140,-3.649,45.519,92.817
0.591,-0.673,0.088,-16.305,29.924,83.206
0.632,-0.731,-0.129,-32.992,38.153,76.420
0.652,-0.708,0.037,-35.153,26.695,74.443
0.733,-0.646,-0.216,-37.069,29.435,70.450
0.782,-0.612,-0.127,-33.420,31.733,74.847
0.823,-0.644,-0.355,-28.519,44.015,78.931
0.768,-0.678,-0.284,-19.122,63.771,82.145
0.730,-0.681,-0.211,-11.053,72.412,86.710
0.722,-0.753,-0.293,-8.824,92.771,85.626
0.702,-0.733,-0.197,-3.634,98.389,84.794
0.691,-0.794,-0.076,5.954,108.260,80.794
0.688,-0.789,0.030,13.626,103.832,76.855
0.659,-0.776,0.095,12.069,86.756,73.550
0.630,-0.777,0.123,1.084,70.924,69.679
0.606,-0.778,0.157,-10.611,60.389,65.321
0.600,-0.746,0.158,-21.450,52.565,63.260
