ax,ay,az,gx,gy,gz
-0.454,-0.394,0.420,185.374,-250.137,-149.160
-0.373,-0.366,0.429,188.115,-250.137,-127.328
-0.500,-0.345,0.612,181.626,-250.137,-97.588
-0.536,-0.351,0.700,179.786,-250.137,-82.107
-0.480,-0.349,0.695,178.748,-250.137,-80.389
-0.546,-0.424,0.850,182.267,-250.137,-81.183
-0.516,-0.450,0.910,192.779,-250.137,-74.893
-0.550,-0.406,0.949,204.290,-250.137,-69.031
-0.461,-0.350,0.800,212.359,-250.137,-66.985
-0.416,-0.270,1.011,221.832,-250.137,-76.214
-0.333,-0.305,0.974,235.466,-250.137,-94.191
-0.228,-0.238,1.063,248.321,-250.137,-110.130
-0.008,-0.148,0.939,250.130,-250.137,-113.046
0.203,-0.048,0.971,250.130,-250.137,-101.137
0.352,-0.009,0.990,243.313,-250.137,-84.115
0.454,0.053,1.001,231.565,-250.137,-68.458
0.501,0.105,0.961,223.908,-250.137,-57.382
0.535,0.117,0.969,209.405,-250.137,-51.183
0.657,0.186,0.979,199.053,-250.137,-51.405
0.662,0.355,0.890,184.840,-250.137,-50.489
0.697,0.313,0.792,170.321,-250.137,-52.809
0.797,0.226,0.745,158.031,-250.137,-62.031
0.890,0.233,0.702,149.885,-250.137,-65.977
0.976,0.229,0.780,137.313,-250.137,-69.504
0.954,0.413,0.666,119.389,-250.137,-66.298
1.047,0.437,0.615,90.321,-250.137,-57.267
1.135,0.449,0.418,69.237,-250.137,-45.855
1.134,0.486,0.442,52.237,-250.137,-25.870
1.085,0.426,0.295,50.229,-250.137,-21.031
1.061,0.466,-0.050,56.679,-250.137,-32.290
1.147,0.312,0.159,54.252,-250.137,-10.992
1.241,0.255,-0.240,56.458,-250.137,-38.229
1.201,0.354,-0.050,42.305,-210.053,0.931
1.223,0.391,-0.082,27.359,-167.924,5.710
1.080,0.396,-0.011,14.069,-140.725,40.603
1.138,0.454,0.051,-4.214,-108.122,57.824
1.127,0.454,0.034,-18.107,-101.221,73.550
1.026,0.400,-0.045,-28.099,-75.969,89.336
0.950,0.361,-0.094,-38.145,-44.580,98.458
0.890,0.377,-0.191,-42.344,-25.771,103.740
0.858,0.329,-0.227,-44.573,12.053,110.267
0.823,0.281,-0.130,-40.511,25.061,110.412
0.885,0.334,-0.191,-37.985,27.908,104.427
